,winery,country_id,province_id
322,Château de la Tour,4.0,21.0
323,Weingut Hans Bausch,5.0,64.0
324,Philippe Colin,4.0,21.0
325,Bel Colle,0.0,31.0
326,J. Davies,2.0,7.0
327,Winderlea,2.0,2.0
328,Wakefield,8.0,22.0
329,Cantina Terlano,0.0,41.0
330,De Martino,7.0,17.0
331,Montresor,0.0,43.0
332,Ronco del Gelso,0.0,41.0
333,Sebastiani,2.0,7.0
334,Elena Walch,0.0,41.0
335,Gini,0.0,43.0
336,Borgo Conventi,0.0,41.0
337,Ceago Vinegarden,2.0,7.0
338,Valiano,0.0,27.0
339,Volpe Pasini,0.0,41.0
340,Zenato,14.0,66.0
341,L.A. Cetto,16.0,67.0
342,La Vis,0.0,41.0
343,Lapostolle,7.0,24.0
344,Fratelli Zeni,0.0,43.0
345,Carmen,7.0,17.0
346,Tommasi,0.0,43.0
347,San Michele Eppan,0.0,41.0
348,Vinoce,2.0,7.0
349,Merriam,2.0,7.0
350,Murphy-Goode,2.0,7.0
351,Kynsi,2.0,7.0
352,Casa Julia,7.0,17.0
353,Valdivieso,7.0,68.0
354,Bridlewood,2.0,7.0
355,San Pedro,7.0,69.0
356,Undurraga,7.0,17.0
357,Conti Formentini,0.0,41.0
358,Cline,2.0,7.0
359,Cono Sur,7.0,13.0
360,Astoria,0.0,43.0
361,Cantine Maschio,0.0,70.0
362,Val d'Oca,0.0,43.0
363,Vinavanti,2.0,7.0
364,Vino V,2.0,7.0
365,Viticoltori Ponte,0.0,43.0
366,Lapostolle,7.0,42.0
367,Le Vigne di Alice,0.0,43.0
368,McGregor,2.0,29.0
369,Miles,2.0,29.0
370,Morro Bay,2.0,7.0
371,Pizzolato,0.0,43.0
372,Red Newt Cellars,2.0,29.0
373,Ca'Tullio,0.0,43.0
374,Michlits,9.0,28.0
375,Château de Callac,4.0,16.0
376,Château de Marsan,4.0,16.0
377,Guardian,2.0,18.0
378,Kerloo,2.0,18.0
379,Kohl,9.0,71.0
380,Las Positas,2.0,7.0
381,Lieb,2.0,29.0
382,Luberri,3.0,4.0
383,Macari,2.0,29.0
384,Malat,9.0,54.0
385,Milbrandt,2.0,18.0
386,Ojai,2.0,7.0
387,ONX,2.0,7.0
388,Pomum,2.0,18.0
