,province,pro_lat,pro_lon,country_id
378,Requinoa,-34.2883749,-70.815833,7.0
379,Mavrodaphne de Cephalonie,39.0,22.0,14.0
380,Goumenissa,40.946869,22.4510542,14.0
381,Portugal,39.39987199999999,-8.224454,1.0
382,Messinia,37.1424653,21.9522491,14.0
383,Lakonia,37.0299087,22.5245093,14.0
384,Markopoulo,37.8833564,23.9333037,14.0
385,Vinho Licoroso,39.5,-8.0,1.0
386,Paardeberg,-30.0,26.0,10.0
387,San Antonio de las Minas Valley,31.965591,-116.642437,16.0
388,Krania Olympus,39.0,22.0,14.0
389,Corinthia,51.506547,-0.124233,14.0
390,Slovenska Istra,45.2745018,13.8901858,21.0
391,Commandaria,35.0,33.0,35.0
392,Gladstone,-42.0,174.0,11.0
393,Jerusalem Hills,31.8083099,35.1049759,12.0
394,Mount Athos,40.2644928,24.2152731,14.0
395,Colares,38.8066307,-9.4426867,1.0
396,Helderberg,-34.0517493,18.9264524,10.0
397,Casablanca & Leyda Valleys,-30.0,-71.0,7.0
398,Dealurile Hușilor,46.0,25.0,15.0
399,Urla-Thrace,39.059012,34.911546,19.0
400,Südburgenland,47.333333,13.333332999999998,9.0
401,Cape Peninsula,-34.2500139,18.4157357,10.0
402,Codru Region,47.0,29.0,30.0
403,Sterea Ellada,38.6043928,22.7152125,14.0
404,Muscat of Patras,38.196911,21.769676,14.0
405,Imathia,40.60600669999999,22.1430215,14.0
406,Alenteo,39.5,-8.0,1.0
407,Canada Other,43.6481382,-79.4023582,17.0
408,Letrinon,37.6720919,21.4378157,14.0
409,Muscat of Kefallonian,39.0,22.0,14.0
410,Thessalikos,39.0,22.0,14.0
411,Hawaii,19.8967662,-155.5827818,2.0
412,China,35.86166,104.195397,42.0
413,Limnos,39.9198413,25.141484,14.0
414,Egypt,26.820553,30.802498,43.0
415,Viile Timis,45.7722138,21.2048797,15.0
416,Devon Valley,50.539567,-3.5257072,10.0
417,Krk,45.166667,15.5,23.0
418,Arcadia,39.0,22.0,14.0
419,Cape Agulhas,-34.8311111,20.0130556,10.0
420,Kathikas,34.9137456,32.4184108,35.0
421,Vin de Pays de Velvendo,39.0,22.0,14.0
422,Landwein Rhein,51.5,10.5,5.0
423,Lesbos,39.2645095,26.2777073,14.0
424,Távora-Varosa,41.038893,-7.758375,1.0
425,Neuchâtel,46.9899874,6.9292732,37.0
